"uuid","page_condition","page_id","rt","adjust_rt","scrolling_time","num_words","correct_rate","img_width","age","device","dyslexia","education","gender","language","retake","dyslexia_bin","english_native","Flesch_Kincaid","speed","rsd"
"0010d921-1f71-4511-834a-55096185fabb",0,"1-1",64213,62798,1415,324,0.666666666666667,1135,19,"laptop",0,"high school",1,"English",0,0,"Y",9.6,309.563998853467,1
"0010d921-1f71-4511-834a-55096185fabb",1,"1-2",60796,43012,17784,383,1,1135,19,"laptop",0,"high school",1,"English",0,0,"Y",10.485,534.269506184321,1.5
"0023cb4d-a3f6-4163-8761-a07914b40754",0,"3-2",23792,21138,2654,120,0.666666666666667,1150,21,"laptop",0,"high school",1,"Other",0,0,"N",10.697,340.618790803293,1
"0111fc3b-685f-4756-9692-67ace3297314",0,"2-1",39929,38421,1508,145,1,1438,19,"desktop",0,"college",0,"English",0,0,"Y",8.337,226.438666354337,1
"0111fc3b-685f-4756-9692-67ace3297314",1,"2-2",42367,41263,1104,166,1,1438,19,"desktop",0,"college",0,"English",0,0,"Y",7.638,241.378474662531,1
"014c91ae-55d5-4aab-87e7-77c677f8a128",0,"3-2",28369,28111,258,120,1,1212,25,"laptop",0,"college",1,"English",0,0,"Y",10.697,256.127494575077,1
"014c91ae-55d5-4aab-87e7-77c677f8a128",1,"3-1",27458,26242,1216,106,1,1212,25,"laptop",0,"college",1,"English",0,0,"Y",11.081,242.35957625181,0.5
"01793098-f0e2-4ef8-a0eb-706a0584332d",0,"1-2",127301,125380,1921,383,1,1438,31,"desktop",2,"graduate school",0,NA,0,1,NA,10.485,183.282820226511,5
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd",0,"1-1",131637,127958,3679,324,0.666666666666667,1294,29,"laptop",0,"college",1,"Russian",0,0,"N",9.6,151.924850341518,1.5
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd",1,"1-2",86342,82355,3987,383,0.666666666666667,1294,29,"laptop",0,"college",1,"Russian",0,0,"N",10.485,279.035881245826,1
"023c99b1-f32a-4d79-b5d7-197ac75591e2",0,"1-1",102320,98645,3675,324,1,1438,58,"desktop",0,"professional school",0,"English",0,0,"Y",9.6,197.070302600233,5
"023c99b1-f32a-4d79-b5d7-197ac75591e2",1,"1-2",81450,78604,2846,383,1,1438,58,"desktop",0,"professional school",0,"English",0,0,"Y",10.485,292.351534273065,3
"025562fd-3b78-416d-b71d-1bab3f5fe6b6",0,"3-1",14214,10663,3551,106,1,1150,23,"laptop",0,"high school",0,"German",0,0,"N",11.081,596.45503141705,0.5
"025562fd-3b78-416d-b71d-1bab3f5fe6b6",1,"3-2",45841,33099,12742,120,1,1150,23,"laptop",0,"high school",0,"German",0,0,"N",10.697,217.529230490347,1
"028c35ca-c434-4a6c-9706-5752290c6d4a",0,"1-2",75856,73338,2518,383,1,1439,35,"laptop",0,"professional school",0,"English",0,0,"Y",10.485,313.343696310235,2
"028c35ca-c434-4a6c-9706-5752290c6d4a",1,"1-1",67345,65974,1371,324,0.666666666666667,1439,35,"laptop",0,"professional school",0,"English",0,0,"Y",9.6,294.661533331312,1.5
"036b67f1-2e0e-4bc3-9616-c53f4bdeebf6",0,"1-1",109633,104257,5376,324,1,1294,24,"laptop",0,"college",0,"English",0,0,"Y",9.6,186.462299893532,2
"03f385b7-6b1b-4549-95f3-1d999b1df64a",0,"1-2",54702,51465,3237,383,0.666666666666667,1150,13,"laptop",0,"high school",1,"English",0,0,"Y",10.485,446.517050422617,1
