"id","country","useable","black","silver","gray","white","maroon","red","purple","fuchsia","green","lime","olive","yellow","navy","blue","teal","aqua","hue","saturation","value","textArea","nonTextArea","maxLevel","averageLevel","numOfLeaves","numOf1stLevelNodes","numOf2ndLevelNodes","numOf3rdLevelNodes","percentageOfLeafArea","percentageOfLeafArea2","numOfTextGroup","numOfImageArea","colorfulness1","colorfulness2","colorNumQuadTreeLeaves","intensityNumQuadTreeLeaves","colorHorizontalSymmetry","colorVerticalSymmetry","colorHorizontalBalance","colorVerticalBalance","intensityHorizontalSymmetry","intensityVerticalSymmetry","intensityHorizontalBalance","intensityVerticalBalance","colorEquilibrium","intensityEquilibrium","colorfulnessScore","complexityScore"
"3","standard",1,0.0199256893247366,0.957495868206024,0.0199256893247366,0.940300762653351,0.0260276794433594,0.00023651123046875,0.0275848396122456,0,0.0117881773039699,0,0.0225120540708303,0.00998916663229465,0.0219337455928326,0.000360870355507359,0.0180152896791697,0.0218620300292969,16.9969535827637,13.0369827270508,247.843813323975,281838,3337,8,6,93,1,3,8,21.7571258544922,23.3233445271211,36,1,28.5558234553843,6.96119093711904,2008,129,0.677981567382812,0.757159423828125,0.918619856207484,0.48493346384825,0.979754638671875,0.979754638671875,1,0.944554928008909,0.6724609375,0.2779296875,2.69598883529131,6.66914626292305
"5","standard",1,0.00672149658203125,0.980651080608368,0.0125465393066406,0.965785980224609,0.00649490347132087,6.25610337010585e-05,0.0129302982240915,0,0.00665740948170424,0,0.00965118408203125,0.00216827401891351,0.0103599550202489,0.00011444091796875,0.0187400821596384,0.018853759393096,23.7575294494629,9.94023818969727,250.913503265381,173811,25949,11,6.60509554140127,157,1,3,7,15.240478515625,16.2821898469429,59,7,23.5139591222268,4.58598994040131,1402,210,0.8031982421875,0.798184204101563,0.41228208256267,0.456280311074124,0.966802978515625,0.968930053710938,1,0.875135722041259,0.7974609375,0.411328125,2.93947068941568,7.37086324659181
"8","standard",1,0.0114097595214844,0.973153710365295,0.0150070190429688,0.959794640541077,0.012884521856904,0.000148010250995867,0.0171157829463482,0,0.00807342492043972,0,0.0134841920807958,0.00458068866282701,0.0141029357910156,0.000243377682636492,0.0178741458803415,0.0204475410282612,19.4474884033203,10.7508117675781,250.193062591553,192389,4970,9,6.22222222222222,108,1,3,7,15.0572967529297,16.179407386032,45,2,25.2233113308059,5.19604497820398,787,137,0.864244079589844,0.900138854980469,0.719190503668288,0.57897384305835,0.979306030273438,0.979306030273438,1,1,0.63984375,0.2353515625,2.38131585967752,6.22818679665547
"9","standard",1,0.000409698492148891,0.0704269409179688,0.00272216787561774,0.926537334918976,0.000673675560392439,0.000572967517655343,0.000220489499042742,0,0.0001068115234375,0,0.000524139381013811,0.00426483154296875,0.00042724609375,0.000318145757773891,0.000681304954923689,0.009002685546875,14.8110504150391,11.2038475036621,248.943756103516,241237,982,8,6.04225352112676,71,1,3,8,18.4798431396484,19.7945677898508,34,0,26.3184049200985,6.1663665649359,940,122,0.880206298828125,0.85806884765625,0.756534201036075,0.808695456488962,0.980818176269531,0.980818176269531,1,1,0.597265625,0.225390625,2.10303515589937,5.88796464819628
"10","standard",1,0.0196708682924509,0.943428039550781,0.0363594070076942,0.919940948486328,0.0312812812626362,0.000135040289023891,0.0460334792733192,0,0.0167007446289062,0,0.0308250430971384,0.00669021625071764,0.0345779433846474,0.000232696533203125,0.0335647575557232,0.0201141349971294,24.8531723022461,15.6740013122559,244.502338409424,185395,110493,9,6.59130434782609,115,1,2,5,22.574462890625,24.1174639038457,36,8,29.5826883223401,6.52195634492383,1553,644,0.789224243164062,0.76431884765625,0.634532648010661,0.372996653152295,0.902146911621094,0.902833557128906,1,0.282151563044119,0.796875,0.7134765625,3.2855909575594,6.62644154605697
"16","standard",1,0.000203704839805141,0.831771850585938,0.0344779975712299,0.938375115394592,0.000285339367110282,0,0.0372680649161339,0,0.0002288818359375,0,0.00798568688333035,0.000622558582108468,0.0275421142578125,0.000160980227519758,0.041783906519413,0.00217742915265262,10.2456199645996,9.18455581665039,249.401496887207,193740,907,7,5.13333333333333,45,1,3,9,14.8503875732422,20.4026078844481,14,0,24.1141582162648,5.01927629702227,4,1523,1,1,NA,NA,0.942604064941406,0.767570495605469,0.0336719921410475,0.290998642447633,0,0.87265625,1.93058500466229,4.12716952720191
"19","standard",1,0.00957794208079576,0.912691473960876,0.0766166672110558,0.898358166217804,0.0182617194950581,4.57763690064894e-06,0.0217399597167969,0,0.0567253120243549,0,0.0158409122377634,0.00495681772008538,0.0637893676757812,0.00215301522985101,0.0639312714338303,0.0120834354311228,11.7160705566406,19.9404159545898,242.646366119385,248864,0,6,5.56818181818182,44,1,2,4,18.98681640625,19.1816298342541,14,0,35.215754660125,8.11792928122414,307,948,0.940513610839844,0.940513610839844,1,1,0.997885131835938,0.871322631835938,0.0342293154136917,1,0.4806640625,0.526171875,2.2486080827017,4.87795781404458
"22","standard",1,0.000265502923866734,0.0540969856083393,0.0212409980595112,0.789173901081085,0.0395011901855469,5.34057608092553e-06,0.0526802055537701,0,0.0653671249747276,0,0.0386970527470112,0.012536620721221,0.0818344131112099,9.91821252682712e-06,0.0793418884277344,0.0207489021122456,18.8398826599121,28.0743240356445,236.196157073975,488565,43804,8,4.81666666666667,60,1,2,15,40.6165313720703,41.0332755771507,18,1,40.4900875876747,12.5042091196126,1483,951,0.887094116210937,0.751153564453125,0.548401300898423,0.147948493463313,0.996847534179688,0.870285034179688,0.0493132436032891,1,0.82421875,0.5240234375,2.28350712795411,8.26544874076398
"30","standard",1,0.260034948587418,0.112746432423592,0.12419967353344,0.0670387297868729,0.0477355942130089,0.00100631709210575,0.145730584859848,4.57763690064894e-06,0.0731040984392166,0,0.00401077279821038,1.44958494274761e-05,0.500515758991241,0.0658111572265625,0.286890417337418,0.00372314453125,96.0577896118164,135.256249237061,130.784673309326,108042,153807,11,8.69277108433735,166,1,2,5,19.9774932861328,21.4164082129397,13,22,64.4355644821469,6.30749723045812,7612,311,0.714501953125,0.317538452148437,0.0533689958883588,0.669001064993641,0.955073547363281,0.955073547363281,1,1,0.840234375,0.3244140625,5.14824899240822,6.5292796243627
"31","standard",1,0.400652319192886,0.241591647267342,0.316663354635239,0.21138533949852,0.192550659179688,0.000407409679610282,0.524723827838898,0,0.26285856962204,0,0.0712898224592209,9.8419186542742e-05,0.679576873779297,0.0080741886049509,0.624415576457977,0.00959930382668972,96.0577896118164,135.256249237061,130.784673309326,108042,153807,11,8.69277108433735,166,1,2,5,19.9774932861328,21.4164082129397,13,22,64.4355644821469,6.30749723045812,7612,311,0.714501953125,0.317538452148437,0.0533689958883588,0.669001064993641,0.955073547363281,0.955073547363281,1,1,0.840234375,0.3244140625,7.16326308989577,6.5292796243627
"36","standard",1,0.0870513916015625,0.755023956298828,0.132048800587654,0.632041931152344,0.140749365091324,0.00389404292218387,0.200906366109848,0.00356826791539788,0.117924496531487,8.92639145604335e-05,0.125819399952888,0.002722930861637,0.159607693552971,3.35693366650958e-05,0.183873742818832,0.0024497986305505,34.9804725646973,38.4098098754883,203.607612609863,189126,328524,10,6.72340425531915,47,1,3,6,39.4935607910156,39.6484375,13,6,39.2063772681316,12.3675265262903,1930,4203,0.879437255859375,0.700881958007812,0.0725854198896083,0.9542519477431,0.796377563476563,0.594088745117187,0.123033726548433,0.650150467780788,0.701953125,0.8650390625,3.96338967665137,6.21130623677293
"37","standard",1,0.128729254007339,0.697816491127014,0.127374261617661,0.638768792152405,0.172835543751717,0.0207061767578125,0.135688781738281,0.00141296384390444,0.14178466796875,3.20434555760585e-05,0.111328125,0.00757980346679688,0.166607663035393,0.00357589730992913,0.13238525390625,0.00575714092701674,33.9474655151367,37.6899673461914,204.023271179199,151094,389093,8,5.79411764705882,34,1,3,6,41.2129974365234,41.3746170343137,10,3,58.4191599953125,21.1882018938526,2908,697,0.875643920898437,0.70665283203125,0.142390438247012,0.697932392822137,0.893008422851562,0.894085693359375,1,0.994940156238802,0.8521484375,0.67734375,4.62521100262237,5.88055336052412
