"uuid","page_condition","page_id","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","age","device","dyslexia","education","gender","language","retake","dyslexia_bin"
"0010d921-1f71-4511-834a-55096185fabb",0,"1-1",6,4,3,4,4,3,6,5,5,5,5,3,4,4,4,4,19,"laptop",0,"high school",1,"English",0,0
"0010d921-1f71-4511-834a-55096185fabb",1,"1-2",4,3,3,3,5,2,5,4,5,5,5,5,4,4,4,5,19,"laptop",0,"high school",1,"English",0,0
"001d6664-0e5d-401b-bfd9-c2985739e2ca",0,"3-2",5,5,1,4,3,5,4,4,3,3,3,2,2,1,1,1,35,"smartphone",0,"college",1,"English",0,0
"001d6664-0e5d-401b-bfd9-c2985739e2ca",1,"3-1",4,5,3,5,3,4,3,2,2,4,4,4,2,1,3,2,35,"smartphone",0,"college",1,"English",0,0
"0023cb4d-a3f6-4163-8761-a07914b40754",0,"3-2",6,2,5,7,5,3,5,4,5,4,3,3,3,3,3,3,21,"laptop",0,"high school",1,"Other",0,0
"0023cb4d-a3f6-4163-8761-a07914b40754",1,"3-1",7,3,7,3,4,2,6,6,6,7,7,6,4,4,4,3,21,"laptop",0,"high school",1,"Other",0,0
"0111fc3b-685f-4756-9692-67ace3297314",1,"2-2",6,4,5,5,5,3,6,6,6,6,6,6,6,6,4,6,19,"desktop",0,"college",0,"English",0,0
"0111fc3b-685f-4756-9692-67ace3297314",0,"2-1",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,19,"desktop",0,"college",0,"English",0,0
"014c91ae-55d5-4aab-87e7-77c677f8a128",0,"3-2",7,6,7,1,4,4,5,1,1,4,1,1,1,1,1,1,25,"laptop",0,"college",1,"English",0,0
"014c91ae-55d5-4aab-87e7-77c677f8a128",1,"3-1",6,1,3,1,7,1,7,6,7,7,7,7,6,4,6,7,25,"laptop",0,"college",1,"English",0,0
"01793098-f0e2-4ef8-a0eb-706a0584332d",0,"1-2",7,4,4,4,6,1,6,6,6,6,6,5,3,2,3,4,31,"desktop",2,"graduate school",0,NA,0,1
"01793098-f0e2-4ef8-a0eb-706a0584332d",1,"1-1",6,2,4,2,5,1,6,6,5,5,5,6,4,4,4,5,31,"desktop",2,"graduate school",0,NA,0,1
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd",1,"1-2",6,1,6,7,7,1,7,5,5,6,7,6,5,2,1,2,29,"laptop",0,"college",1,"Russian",0,0
"020bf19f-ab82-4c2a-8fb3-fbaab33412fd",0,"1-1",6,2,6,5,7,2,7,6,6,6,6,4,3,2,2,3,29,"laptop",0,"college",1,"Russian",0,0
